date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:11	173/173	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2218f-67fde81e-1baf0f;br%22	https://thethaiger.com/robots.txt		(from )
17:50:11	263281/263281	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202026%2012:20:11%20GMT	https://thethaiger.com/thai-lottery	thethaiger.com/thai-lottery.html	(from )
17:50:11	18712/18712	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224918-68ad50e1-2b744a;br%22	https://thethaiger.com/wp-content/plugins/wpraiser/assets/js/lazyload.js?v=1756188897	thethaiger.com/wp-content/plugins/wpraiser/assets/js/lazyload574d.js	(from https://thethaiger.com/thai-lottery)
17:50:12	60/60	---MCZ	200	added ('OK')	text/css	etag:W/%223c-6a44d561-2b518f;;;%22	https://thethaiger.com/wp-content/cache/min/1782895967/plugins/litespeed-cache/assets/css/litespeed-dummy.css	thethaiger.com/wp-content/cache/min/1782895967/plugins/litespeed-cache/assets/css/litespeed-dummy.css	(from https://thethaiger.com/thai-lottery)
17:50:12	119312/119312	---MCZ	200	added ('OK')	text/css	etag:W/%221d210-6a44d561-2b5194;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/wp-includes/css/dist/block-library/style.min.css	thethaiger.com/wp-content/cache/min/1782895967/wp-includes/css/dist/block-library/style.min.css	(from https://thethaiger.com/thai-lottery)
17:50:12	16688/16688	---MCZ	200	added ('OK')	text/css	etag:W/%224130-6a44d561-2b5199;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/plugins/faq-schema-for-pages-and-posts/css/jquery-ui.css	thethaiger.com/wp-content/cache/min/1782895967/plugins/faq-schema-for-pages-and-posts/css/jquery-ui.css	(from https://thethaiger.com/thai-lottery)
17:50:12	945/945	---MCZ	200	added ('OK')	text/css	etag:W/%223b1-6a44d561-2b519c;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-smart-thaiger-pagination-naveen/css/custom-pagination-date.css	thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-smart-thaiger-pagination-naveen/css/custom-pagination-date.css	(from https://thethaiger.com/thai-lottery)
17:50:13	100354/100354	---MCZ	200	added ('OK')	text/css	etag:W/%2218802-6a44d562-2b51a2;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-user-avatar/assets/css/frontend.min.css	thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-user-avatar/assets/css/frontend.min.css	(from https://thethaiger.com/thai-lottery)
17:50:13	12899/12899	---MCZ	200	added ('OK')	text/css	etag:W/%223263-6a44d562-2b51a4;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css	thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css	(from https://thethaiger.com/thai-lottery)
17:50:13	14965/14965	---MCZ	200	added ('OK')	text/css	etag:W/%223a75-6a44d562-2b51a6;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-user-avatar/assets/select2/select2.min.css	thethaiger.com/wp-content/cache/min/1782895967/plugins/wp-user-avatar/assets/select2/select2.min.css	(from https://thethaiger.com/thai-lottery)
17:50:13	40707/40707	---MCZ	200	added ('OK')	text/css	etag:W/%229f03-6a44d562-2b51b7;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/base.min.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/base.min.css	(from https://thethaiger.com/thai-lottery)
17:50:13	134585/134585	---MCZ	200	added ('OK')	text/css	etag:W/%2220db9-6a44d562-2b51b8;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/style.min.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/style.min.css	(from https://thethaiger.com/thai-lottery)
17:50:14	46690/46690	---MCZ	200	added ('OK')	text/css	etag:W/%22b662-6a44d562-2b51b9;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/widgets.min.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/widgets.min.css	(from https://thethaiger.com/thai-lottery)
17:50:14	33237/33237	---MCZ	200	added ('OK')	text/css	etag:W/%2281d5-6a44d563-2b51ba;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/helpers.min.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/helpers.min.css	(from https://thethaiger.com/thai-lottery)
17:50:14	57171/57171	---MCZ	200	added ('OK')	text/css	etag:W/%22df53-6a44d563-2b51bb;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/fontawesome.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/fontawesome.css	(from https://thethaiger.com/thai-lottery)
17:50:14	12288/12288	---MCZ	200	added ('OK')	text/css	etag:W/%223000-6a44d563-2b51be;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/ilightbox/dark-skin/skin.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/ilightbox/dark-skin/skin.css	(from https://thethaiger.com/thai-lottery)
17:50:15	46114/46114	---MCZ	200	added ('OK')	text/css	etag:W/%22b422-6a44d563-2b51bf;br%22	https://thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/single.min.css	thethaiger.com/wp-content/cache/min/1782895967/themes/jannah/assets/css/single.min.css	(from https://thethaiger.com/thai-lottery)
